pm25,DEWP,HUMI,PRES,TEMP,Iws,wd_NE,wd_NW,wd_SE,wd_cv,hour_sin,hour_cos,month_sin,month_cos,is_weekend,season_sin,season_cos,precipitation,Iprec,datetime,year,month,day,hour
129.0,-17.0,41.0,1020.0,-5.0,0.89,0,0,0,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-01 23:00:00,2010,1,1,23
148.0,-16.0,38.0,1020.0,-4.0,1.79,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 00:00:00,2010,1,2,0
159.0,-15.0,42.0,1020.0,-4.0,2.68,0,0,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 01:00:00,2010,1,2,1
181.0,-11.0,63.5,1021.0,-5.0,3.57,0,0,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 02:00:00,2010,1,2,2
138.0,-7.0,85.0,1022.0,-5.0,5.36,0,0,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 03:00:00,2010,1,2,3
109.0,-7.0,85.0,1022.0,-5.0,6.25,0,0,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 04:00:00,2010,1,2,4
105.0,-7.0,92.0,1022.0,-6.0,7.14,0,0,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 05:00:00,2010,1,2,5
124.0,-7.0,92.0,1023.0,-6.0,8.93,0,0,1,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 06:00:00,2010,1,2,6
120.0,-7.0,85.0,1024.0,-5.0,10.72,0,0,1,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 07:00:00,2010,1,2,7
132.0,-8.0,85.0,1024.0,-6.0,12.51,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 08:00:00,2010,1,2,8
140.0,-7.0,85.0,1025.0,-5.0,14.3,0,0,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 09:00:00,2010,1,2,9
152.0,-7.0,85.0,1026.0,-5.0,17.43,0,0,1,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 10:00:00,2010,1,2,10
148.0,-8.0,79.0,1026.0,-5.0,20.56,0,0,1,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 11:00:00,2010,1,2,11
164.0,-8.0,79.0,1026.0,-5.0,23.69,0,0,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 12:00:00,2010,1,2,12
158.0,-8.0,79.0,1025.0,-5.0,27.71,0,0,1,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 13:00:00,2010,1,2,13
154.0,-9.0,73.0,1025.0,-5.0,31.73,0,0,1,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 14:00:00,2010,1,2,14
